SITE_NO,TSITE_NO,SHORT_NAME,RSQA_STUDY,STATION_NM,LB_BasinGIS_km2,LB_DevelopedHigh2011,LB_DevelopedMed2011,LB_DevelopedLow2011,LB_DevelopedOpen2011,LB_BarrenLand2011,LB_DeciduousForest2011,LB_EvergreenForest2011,LB_MixedForest2011,LB_GrasslandHerb2011,LB_ShrubScrub2011,LB_CultivatedCrops2011,LB_PastureHay2011,LB_WoodyWetlands2011,LB_EmerHerbWetlands2011,LB_OpenWater2011,LB_SumAreaNLCD2011,LB_Canopy2011,LB_Imperviousness2001,LB_Imperviousness2006,LB_Imperviousness2011,LB_Dev_CommServices2012,LB_Dev_IndusMilitary2012,LB_Dev_MajorTransp2012,LB_Dev_Other2012,LB_Dev_Recreation2012,LB_Dev_ResidHigh2012,LB_Dev_ResidLowMed2012,LB_SemiDev_AnthroOth2012,LB_SemiDev_UrbHigh2012,LB_SemiDev_UrbLowMed2012,LB_Prod_Crops2012,LB_Prod_GrazingPot2012,LB_Prod_Mining2012,LB_Prod_PastureHay2012,LB_LowUse2012,LB_VeryLowUse_Conserv2012,LB_Water2012,LB_Wetlands2012,LB_SumAreaNWALT2012,LB_Dense_Urban,LB_Total_Urban,LB_CSQA_Total_Urban,LB_Extended_Urban,LB_Crops,LB_Total_Ag,LB_Total_Developed,LB_Total_Low_Use,LB_LU_cat_calc,LB_LU_cat,LB_Major_LU,LB_GolfCourseArea,LB_UrbanAge_mean,LB_UrbanAge_PCT_1940,LB_UrbanAge_PCT_1950,LB_UrbanAge_PCT_1960,LB_UrbanAge_PCT_1970,LB_UrbanAge_PCT_1980,LB_UrbanAge_PCT_1990,LB_UrbanAge_PCT_2000,LB_UrbanAge_PCT_2010,LB_UrbanAge_PCT_NonUrban,LB_UrbanAge_SUM_AREA,LB_DamDensity2016,LB_DamMajDensity2016,LB_DamNIDstorage2016,LB_DamNORMALstorage2016,LB_DamNumMajDams2016,LB_NumDams2016,LB_BaseFlowIndex,LB_DunneOverlandFlow,LB_HortonOverlandFlow,LB_IndexSubsFlowContact,LB_TopogWetnessIndex,LB_Runoff2016,LB_Runoff2017,LB_Stream_Ephemeral,LB_Stream_Intermittent,LB_Stream_Perennial,LB_Stream_StreamRiver,LB_StreamDensity,LB_N_AtmosphDepos2016,LB_N_AtmosphDepos2017,LB_N_FertFarm2012,LB_N_FertNonFarm2012,LB_N_Manure2012,LB_N_NPDES_2012,LB_NumFacilities2012,LB_NumMajorFacilities2012,LB_P_FertFarm2012,LB_P_FertNonFarm2012,LB_P_Manure2012,LB_P_NPDES_2012,LB_Total_N,LB_Total_P,LB_AdjHouseIncome_mean,LB_HousingDensity2000,LB_HousingDensity2010,LB_PopDensity1990,LB_PopDensity2000,LB_PopDensity2010,LB_RoadDensity2016,LB_RoadDensity2017,LB_DepthToWaterTable,LB_AvailWaterCapacity,LB_BulkDensity,LB_KfactorUpperHorizon,LB_OrganicMatter,LB_Permeability,LB_SandContent,LB_SiltContent,LB_ClayContent,LB_RainfallErosivity,LB_SoilLoss_Afactor,LB_SoilThickness,LB_SRL25Agland,LB_Elev_MeanWatershed,LB_Slope,LB_TRI_NumOfChems2010,LB_TRI_NumOfFacil,LB_TRI_NumOfSuperFund,LB_TRI_SumLbs2010
11181008,T11181008,CA_Castro,CSQA,CASTRO VALLEY C A HAYWARD CA,12.761,8.40,55.00,24.46,9.93,0.00,0.00,0.09,1.35,0.78,0.00,0.00,0.00,0.00,0.00,0.00,12763970.33,6.01,51.04,51.20,51.39,16.95,0.42,3.16,0.17,1.92,65.79,9.67,0.00,1.41,0.08,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.00,12765600,20.53,99.49,98.08,99.58,0.00,0.00,99.58,0.42,Urban_high,Urban_high,Urban,,1936,91.32,6.88,0.00,0.00,0.00,0.00,0.00,0.00,1.80,12790000,15.673,7.837,17.013,17.013,1.000,2.000,23.955,0.033,16.080,4195.728,10.710,68.100,308.200,20.79,0.00,79.21,0.00,0.006,2.230,15.707,0.000,7399.289,0.000,,,,0.000,182.306,0.000,,2150.508,14.286,64.012,1072.975,1121.421,2431.327,2693.023,2816.353,,16.074,5.237,0.142,1.414,0.288,1.297,0.765,20.46,42.78,36.77,409.559,0.389,42.029,-9999.000,85.092,0.084,,,,
11182400,T11182400,CA_ArroyoMart,CSQA,ARROYO DEL HAMBRE A MARTINEZ CA,27.657,0.22,2.80,7.79,17.56,0.00,0.00,2.49,30.88,37.40,0.72,0.07,0.00,0.07,0.00,0.00,27667118.38,31.71,5.59,5.67,5.68,2.02,0.22,3.80,4.85,0.85,3.79,9.30,0.00,34.35,0.00,0.08,0.00,0.00,0.00,40.75,0.00,0.00,0.00,27669600,6.04,59.17,24.82,59.17,0.08,0.08,59.25,40.75,Urban_low,Urban_low,Urban,,1948,11.23,1.08,9.93,3.32,0.98,0.00,0.00,0.00,73.46,27690000,,,,,,,28.433,1.000,3.000,43.000,7.980,152.478,476.848,73.16,25.41,0.00,0.00,0.014,2.733,19.354,62.173,3521.482,110.534,,,,6.299,86.762,32.101,,2068.956,4.525,84.556,89.773,91.657,212.842,222.222,216.070,,9.042,5.837,0.141,1.449,0.305,1.549,1.058,23.65,44.85,31.50,407.412,0.655,32.613,-9999.000,150.787,0.268,,,,
11182500,T11182500,CA_SanRamonSan,CSQA,SAN RAMON C A SAN RAMON CA,10.099,0.01,1.30,1.97,5.92,0.00,0.00,1.63,36.86,47.50,4.60,0.00,0.00,0.15,0.07,0.00,10119921.48,30.01,1.92,1.93,1.94,0.85,0.00,0.28,3.02,0.00,0.78,0.68,0.00,1.28,2.14,0.00,0.00,0.00,0.00,90.96,0.00,0.00,0.00,10116000,1.14,6.90,5.62,9.04,0.00,0.00,9.04,90.96,Urban_low,Urban_low,Urban,,1952,0.00,2.47,0.00,0.49,0.49,0.00,0.00,0.00,96.54,10120000,,,,,,,29.388,0.880,4.171,228.448,8.814,121.777,390.990,61.77,36.90,0.09,0.00,0.018,2.993,21.549,0.000,422.043,0.000,,,,0.000,10.398,0.000,,2196.694,1.030,99.168,11.105,36.123,13.134,26.663,87.643,,2.503,5.787,0.141,1.444,0.304,1.468,0.992,22.98,44.51,32.51,439.909,0.745,34.864,-9999.000,313.174,0.262,,,,
11456500,T11456500,CA_ConnOak,CSQA,CONN C NR OAKVILLE CA,17.400,0.02,0.28,1.78,2.93,0.43,0.29,12.43,7.23,3.41,25.43,34.19,0.00,0.72,0.96,9.91,17410404.72,19.53,0.99,0.99,0.99,0.04,0.35,0.97,0.56,0.68,0.00,0.00,0.00,0.00,0.00,35.69,0.04,0.00,0.08,51.83,0.00,9.72,0.02,17398800,1.37,2.61,2.61,2.61,35.69,35.82,38.42,61.58,Ag_high,Ag_high,Ag,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,17340000,5.747,5.747,2197.525,2197.525,1.000,1.000,27.058,1.640,3.797,476.664,10.018,275.700,910.500,0.00,57.96,12.67,0.00,0.015,4.297,26.361,81938.052,128.409,17351.823,,,,8301.593,3.162,4167.224,,8349.683,716.762,81.857,2.686,3.007,5.153,6.084,5.106,,4.020,5.603,0.141,1.363,0.277,0.976,1.265,24.86,46.13,29.01,814.330,1.036,38.797,5.827,151.049,0.143,,,,
11458300,T11458300,CA_NapaNapa,CSQA,NAPA C A NAPA,10.519,0.13,9.66,23.67,15.60,0.04,3.91,2.53,9.27,25.58,4.78,4.02,0.00,0.81,0.00,0.00,10524898.33,20.25,14.85,15.09,15.55,1.95,0.21,0.27,1.78,2.50,28.36,12.97,0.00,14.54,4.89,3.97,0.41,0.00,0.07,28.09,0.00,0.00,0.00,10522800,2.43,62.57,48.03,67.46,3.97,4.45,71.91,28.09,Urban_med,Urban_med,Urban,,1949,19.07,20.49,7.21,15.18,0.00,0.38,0.00,0.38,37.29,10540000,,,,,,,22.665,1.610,4.966,212.945,9.014,275.700,910.500,0.00,99.45,0.00,0.00,0.016,3.727,23.166,5744.780,767.250,1216.558,,,,582.035,18.892,292.169,,3051.334,84.906,69.291,280.832,290.418,735.366,747.103,734.459,,17.538,5.670,0.151,1.416,0.339,0.663,1.026,21.96,50.11,27.93,586.269,0.764,40.521,0.000,73.685,0.131,,,,
11458500,T11458500,CA_SonomaAgua,CSQA,SONOMA C A AGUA CALIENTE CA,27.154,0.08,1.24,4.11,9.81,0.15,3.97,21.24,13.62,11.98,23.34,8.83,0.00,0.71,0.32,0.61,27129849.09,39.29,2.74,2.87,2.90,0.92,0.24,0.65,2.76,0.13,2.15,4.39,0.00,0.13,6.53,9.38,2.95,0.00,0.11,69.02,0.00,0.64,0.00,27126000,1.80,11.37,11.24,17.90,9.38,12.44,30.34,69.66,Urban_low,Mixed,Mixed,,1986,1.51,0.00,4.41,2.02,1.10,0.00,0.00,14.56,76.39,27190000,7.365,3.683,38.203,38.203,1.000,2.000,22.997,1.522,3.999,116.923,8.654,275.700,910.500,0.00,82.43,14.18,0.00,0.016,3.922,24.701,26182.731,769.981,43104.081,,,,2652.710,18.973,9109.952,,5050.120,433.885,68.019,35.518,38.742,123.957,112.141,106.001,,3.604,5.754,0.115,1.434,0.275,0.544,1.184,29.49,43.63,26.88,1073.589,0.929,28.485,22.723,185.927,0.206,,,,
11459500,T11459500,CA_Novato,CSQA,NOVATO C A NOVATO CA,16.881,0.17,10.18,10.58,8.38,0.25,1.27,9.53,6.95,39.02,12.57,0.00,0.00,0.81,0.25,0.05,16881234.97,16.76,10.39,10.70,10.77,3.50,0.00,0.00,0.19,4.35,11.30,10.92,0.00,14.86,1.77,0.00,0.00,0.13,0.00,52.77,0.00,0.02,0.19,16884000,3.50,45.12,30.26,46.89,0.00,0.00,46.89,52.99,Urban_med,Urban_med,Urban,0.308,1960,0.71,17.30,4.44,44.31,5.63,0.00,0.00,0.00,27.61,16880000,,,,,,,22.196,2.000,4.000,492.197,9.815,275.760,910.632,0.00,52.29,47.71,0.00,0.008,3.779,25.854,0.000,1200.056,0.000,,,,0.000,29.572,0.000,,2656.536,1.752,51.953,195.336,207.799,536.070,529.840,541.068,,5.083,5.339,0.124,1.463,0.266,1.247,1.269,28.80,44.96,26.24,825.231,1.102,28.343,-9999.000,122.614,0.213,,,,
11460000,T11460000,CA_Corte,CSQA,CORTE MADERA C A ROSS CA,25.721,0.47,4.10,9.69,38.13,0.02,10.83,19.28,6.66,5.54,5.08,0.00,0.00,0.03,0.00,0.17,25729529.15,55.56,8.07,8.34,8.41,4.30,0.00,1.05,1.05,2.59,30.99,9.99,0.00,16.68,0.95,0.00,0.00,0.00,0.00,32.25,0.00,0.15,0.00,25722000,5.35,66.65,49.97,67.60,0.00,0.00,67.60,32.40,Urban_med,Urban_med,Urban,,1937,55.09,6.42,2.14,0.00,0.04,0.00,0.00,0.00,36.31,25720000,3.888,3.888,29.349,29.349,1.000,1.000,22.455,1.984,3.809,113.218,8.933,279.209,918.237,22.16,11.51,58.36,0.00,0.021,4.189,30.656,0.000,3218.578,0.000,,,,0.000,79.313,0.000,,3190.718,3.084,70.004,350.859,371.740,763.850,806.090,826.639,,8.627,5.367,0.124,1.462,0.266,1.258,1.268,28.80,44.95,26.25,1194.710,2.602,28.192,-9999.000,116.623,0.284,,,,
11465350,T11465350,CA_DryMouth,CSQA,DRY C NR MOUTH NR HEALDSBURG CA,28.138,1.48,7.58,7.08,7.23,0.02,1.21,22.06,10.48,14.51,9.27,18.82,0.00,0.22,0.00,0.04,28138691.42,29.13,8.39,8.81,8.95,3.79,2.43,1.98,1.07,0.75,5.50,4.72,0.00,0.40,1.13,19.43,0.79,0.00,0.06,57.92,0.00,0.03,0.00,28148400,8.20,20.64,20.25,21.77,19.43,20.28,42.05,57.95,Mixed,Mixed,Mixed,0.162,1937,13.41,4.04,0.00,0.00,0.00,0.00,0.00,0.00,82.55,28190000,,,,,,,40.132,5.910,3.716,91.070,9.444,505.400,1107.800,0.00,54.98,29.21,0.00,0.016,2.466,19.526,57566.614,1129.627,94770.708,,,,5832.377,27.834,20029.578,,7406.567,920.084,53.190,110.318,126.461,280.872,309.226,298.900,,6.030,5.922,0.123,1.451,0.270,0.624,2.570,30.10,45.50,24.40,1173.426,1.110,46.612,0.000,80.050,0.134,1,1,,0.844
11465660,T11465660,CA_Copeland,CSQA,COPELAND C A ROHNERT PARK CA,5.845,2.24,33.29,21.06,16.17,0.00,0.00,0.00,0.40,17.42,0.12,6.26,2.04,0.56,0.35,0.09,5837066.32,2.45,28.05,30.79,31.69,24.51,0.19,0.00,6.60,2.35,31.54,6.36,0.00,1.48,0.86,6.36,13.52,0.00,1.11,5.06,0.00,0.06,0.00,5832000,24.69,73.02,71.54,73.89,6.36,20.99,94.88,5.12,Urban_high,Urban_high,Urban,,1954,7.18,19.66,9.40,5.30,1.20,6.50,0.00,0.00,50.77,5850000,,,,,,,23.250,2.300,12.985,1849.492,10.244,497.914,1101.370,0.00,36.21,28.07,0.00,0.017,2.751,17.980,5269.975,762.668,8675.850,,,,533.929,18.792,1833.622,,4314.589,408.304,65.358,651.764,659.826,1448.594,1885.428,1979.319,,9.224,4.545,0.136,1.360,0.254,0.747,0.409,14.97,40.86,44.17,675.161,0.278,52.998,87.066,48.243,0.020,,,,
11465690,T11465690,CA_Colgan,CSQA,COLGAN C NR SANTA ROSA CA,8.375,9.21,31.39,13.96,10.72,0.00,0.38,1.94,7.32,17.60,6.80,0.00,0.69,0.00,0.00,0.00,8361422.01,8.74,27.49,32.43,34.30,18.80,2.84,2.88,1.16,2.80,19.36,16.05,0.00,2.19,9.08,0.00,2.19,0.00,0.47,22.16,0.00,0.00,0.00,8366400,24.53,66.09,63.90,75.17,0.00,2.67,77.84,22.16,Urban_high,Urban_high,Urban,0.155,1953,32.73,8.51,10.43,0.00,0.00,0.00,14.87,0.00,33.45,8340000,,,,,,,29.789,2.984,5.219,950.725,10.301,505.400,1107.800,0.00,79.38,0.00,0.00,0.011,2.856,18.588,717.739,871.692,1181.599,,,,72.718,21.479,249.728,,2189.681,41.066,47.730,320.917,505.334,848.798,1145.395,1600.891,,9.198,5.218,0.134,1.471,0.312,0.650,0.963,28.52,44.11,27.37,768.346,0.378,42.522,100.000,87.405,0.083,,,,
11466170,T11466170,CA_Matanzas,CSQA,MATANZAS C A SANTA ROSA CA,17.360,1.63,16.09,23.89,31.19,0.05,0.83,3.48,5.67,7.89,7.08,0.00,0.00,0.58,0.00,1.63,17372606.88,21.34,19.95,21.52,21.94,8.07,0.15,0.50,0.66,8.74,32.79,19.74,0.00,9.55,11.91,0.00,0.00,0.00,0.00,6.23,0.00,1.66,0.00,17344800,8.72,80.20,70.65,92.11,0.00,0.00,92.11,7.89,Urban_med,Urban_med,Urban,0.622,1949,30.34,10.88,18.77,0.98,12.55,0.00,0.00,0.00,26.48,17370000,11.521,0.000,279.741,279.741,0.000,2.000,28.923,2.649,5.276,362.903,9.326,505.400,1107.800,0.00,36.49,33.77,0.00,0.013,2.954,19.306,0.000,2274.709,0.000,,,,0.000,56.050,0.000,,2061.638,3.229,69.423,471.232,504.046,1112.609,1172.615,1172.523,,9.416,5.300,0.131,1.465,0.306,0.634,0.997,28.67,44.03,27.30,887.866,0.645,40.372,-9999.000,103.871,0.097,,,,
11466200,T11466200,CA_SantaSanta,CSQA,SANTA ROSA C A SANTA ROSA CA,11.192,4.89,29.29,30.82,31.39,0.00,0.00,0.69,1.41,0.70,0.57,0.00,0.00,0.25,0.00,0.00,11207959.29,19.83,31.62,34.95,35.77,22.42,0.16,2.29,0.81,3.16,49.81,17.17,0.00,2.42,0.93,0.00,0.00,0.00,0.00,0.84,0.00,0.00,0.00,11174400,24.87,98.23,95.81,99.16,0.00,0.00,99.16,0.84,Urban_high,Urban_high,Urban,,1938,61.87,21.60,2.04,0.00,0.00,0.00,0.00,0.00,14.49,11250000,,,,,,,29.464,2.149,5.853,801.767,10.236,505.400,1107.800,0.00,25.51,62.55,0.00,0.017,2.834,18.495,0.000,1890.467,0.000,,,,0.000,46.582,0.000,,2018.463,4.162,57.633,724.757,780.610,1517.292,1641.047,1723.475,,12.656,4.893,0.145,1.493,0.335,0.710,0.829,27.95,44.31,27.75,824.105,0.599,51.644,-9999.000,74.079,0.062,,,,
11466320,T11466320,CA_SantaWillow,CSQA,SANTA ROSA C A WILLOWSIDE RD NR SANTA ROSA CA,17.101,1.49,19.34,17.97,19.01,0.00,0.00,0.07,0.16,15.24,0.48,25.16,0.00,0.08,0.14,0.84,17105322.16,2.03,19.13,20.54,21.05,5.84,0.00,0.00,0.19,2.35,23.92,22.66,0.00,3.57,3.51,26.06,6.62,0.00,0.46,3.99,0.00,0.82,0.00,17128800,5.84,58.53,54.96,62.04,26.06,33.14,95.19,4.81,Mixed,Mixed,Mixed,,1967,8.14,7.67,12.41,30.80,0.18,0.00,3.63,13.64,23.54,17080000,5.848,0.000,20.918,20.918,0.000,1.000,30.723,2.747,6.000,2753.052,11.507,505.400,1107.800,0.00,52.65,10.25,0.00,0.015,2.552,17.430,47449.441,1771.804,78115.019,,,,4807.353,43.658,16509.436,,9189.282,1249.095,54.997,297.099,364.556,688.318,816.957,939.200,,6.726,4.550,0.157,1.518,0.358,0.783,0.688,27.31,44.70,28.00,828.008,0.099,60.000,0.000,32.496,0.012,,,,
11466800,T11466800,CA_MarkWMir,CSQA,MARK WEST C NR MIRABEL HEIGHTS CA,40.834,0.72,1.57,5.33,8.37,0.10,0.56,1.07,2.90,22.55,6.77,47.56,1.02,1.26,0.00,0.22,40834265.67,7.15,3.73,3.88,4.01,0.65,0.36,3.67,1.12,0.24,0.00,5.32,2.95,0.13,11.59,49.19,6.14,0.00,1.42,16.92,0.00,0.25,0.05,40885200,4.68,11.49,11.36,26.03,49.19,56.75,82.78,17.22,Mixed,Mixed,Mixed,0.068,1984,0.20,0.00,0.00,0.86,24.91,0.47,0.81,11.12,61.64,40750000,2.449,0.000,9.515,9.515,0.000,1.000,33.853,2.259,5.514,876.381,10.282,505.400,1107.800,0.00,64.80,17.29,0.00,0.012,2.536,18.614,216501.595,1146.080,356422.030,10968.425,1,1,21934.916,28.240,75329.004,4608.343,15919.901,2382.598,55.018,23.199,24.723,73.031,70.452,62.072,,3.239,4.722,0.153,1.507,0.340,0.783,0.902,28.33,42.36,29.31,983.985,0.629,59.631,11.155,33.678,0.049,0,1,,0.000
351436120405201,T351436120405201,CA_SanLObispo,CSQA,SAN LUIS OBISPO C A LOS OSOS VLY RD NR SAN LUIS OB,25.958,1.61,14.33,16.23,12.29,0.00,0.00,0.81,8.83,22.68,12.68,5.73,0.76,0.17,2.63,1.25,25974315.15,8.97,15.41,16.26,17.07,13.71,0.47,3.39,2.22,4.30,17.59,1.49,0.00,9.29,6.34,5.79,0.24,0.00,0.76,32.80,0.00,1.21,0.42,25938000,17.57,52.45,43.16,58.79,5.79,6.79,65.58,34.42,Urban_med,Urban_med,Urban,0.129,1949,24.15,13.35,0.00,0.00,0.00,0.00,0.00,6.87,55.63,25920000,,,,,,,39.587,0.000,21.859,639.738,9.479,391.800,1432.300,56.55,2.42,32.51,0.00,0.016,0.880,11.057,20584.062,641.314,10606.018,30097.560,1,1,2085.480,15.796,3131.741,6376.061,2331.973,201.596,42.384,321.563,356.906,697.251,696.637,752.173,,10.856,5.882,0.152,1.380,0.270,0.985,0.543,22.61,41.22,36.17,717.313,0.617,48.582,49.370,94.993,0.136,,,,
351725120395901,T351725120395901,CA_Stenner,CSQA,STENNER C A MURRAY AVE A SAN LUIS OBISPO CA,17.513,0.60,3.30,6.24,11.20,0.00,0.00,0.58,6.89,35.60,25.75,4.06,4.44,0.66,0.35,0.33,17525598.13,6.89,4.44,4.62,5.39,11.76,0.10,2.57,2.09,0.04,2.22,0.29,0.00,5.46,37.42,3.96,0.35,0.00,4.41,29.04,0.00,0.29,0.00,17539200,14.43,24.53,19.07,61.95,3.96,8.72,70.67,29.33,Urban_low,Urban_low,Urban,,1935,6.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.41,17440000,,,,,,,38.157,0.000,3.549,216.404,8.966,391.800,1432.300,46.48,16.31,26.98,0.00,0.023,1.011,13.612,18214.911,209.280,9385.304,,,,1845.449,5.155,2771.289,,2949.109,263.908,21.531,107.343,98.407,355.098,395.743,504.899,,3.312,6.000,0.139,1.396,0.226,1.945,0.982,24.97,40.43,34.60,838.962,0.964,28.641,5.891,188.658,0.209,,,,
352127120484501,T352127120484501,CA_Chorro,CSQA,CHORRO C A CHORRO C RD NR MORRO BAY CA,25.257,0.00,0.38,1.85,5.60,0.00,0.00,0.74,2.50,61.94,15.78,6.32,2.01,0.39,2.45,0.05,25246256.77,6.11,1.19,1.19,1.19,0.09,0.01,1.85,0.71,0.00,0.00,0.04,0.00,0.00,0.04,6.77,1.61,0.00,2.50,86.34,0.00,0.03,0.00,25243200,1.95,2.71,2.71,2.75,6.77,10.88,13.63,86.37,Ag_low,Ag_low,Ag,,1945,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,99.56,25280000,,,,,,,32.798,0.000,18.753,621.436,9.257,391.800,1432.300,65.37,19.31,14.26,0.00,0.019,0.820,10.097,25686.000,113.813,13234.811,,,,2602.384,2.803,3907.971,,2555.169,257.875,58.445,1.499,2.641,2.804,4.178,6.135,,2.542,5.927,0.152,1.371,0.270,1.087,0.632,20.77,42.56,36.67,587.046,0.537,44.280,45.173,105.166,0.205,,,,
352934120395501,T352934120395501,CA_Atascadero,CSQA,ATASCADERO C A W MALL BR A ATASCADERO CA,15.147,0.59,5.47,13.33,53.81,0.00,0.00,0.63,7.80,14.24,3.46,0.00,0.00,0.06,0.03,0.59,15145234.21,14.49,10.21,10.55,10.87,7.74,0.24,6.10,1.35,0.55,0.95,53.45,0.00,0.02,22.81,0.00,0.00,0.00,0.00,6.15,0.00,0.64,0.00,15166800,14.08,70.40,70.38,93.21,0.00,0.00,93.21,6.79,Urban_med,Urban_med,Urban,,1963,33.55,9.22,15.19,0.00,8.95,0.00,0.00,27.52,5.57,15080000,6.602,0.000,20.359,20.359,0.000,1.000,29.005,0.050,1.340,67.389,9.340,15.800,147.200,61.90,29.72,1.38,0.00,0.014,0.972,13.901,0.000,633.177,0.000,,,,0.000,15.596,0.000,,1431.930,1.030,64.972,226.937,243.922,542.695,583.663,583.489,,8.631,5.933,0.130,1.473,0.244,0.974,3.070,40.03,36.93,23.04,835.921,0.503,37.131,0.000,306.249,0.115,,,,
363608121255201,T363608121255201,CA_ChuChuChu,CSQA,CHUALAR C A CHUALAR CANYON RD NR CHUALAR CA,25.831,0.00,0.00,0.01,2.44,0.00,0.00,36.38,0.72,14.88,44.67,0.51,0.00,0.22,0.07,0.09,25825823.64,23.83,0.05,0.05,0.05,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.11,0.00,0.00,98.72,0.00,0.17,0.00,25830000,0.00,0.50,0.50,0.50,0.50,0.61,1.11,98.89,Undeveloped,Undeveloped,Undeveloped,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,25830000,,,,,,,37.041,2.000,0.517,16.055,8.189,15.800,147.200,65.83,34.17,0.00,0.00,0.017,0.478,8.244,6418.374,49.915,374.339,,,,650.280,1.229,91.144,,1089.271,28.751,40.342,0.529,0.579,1.750,2.518,1.135,,1.678,5.997,0.100,1.539,0.222,0.795,3.760,49.76,33.31,16.93,295.629,1.282,30.273,0.000,424.807,0.427,,,,
364003121373501,T364003121373501,CA_Alisal,CSQA,ALISAL C A FAIRVIEW AVE NR SALINAS CA,25.465,2.68,13.53,9.73,11.62,0.19,0.00,0.00,0.02,0.21,0.17,61.30,0.45,0.12,0.00,0.00,25444245.45,0.00,13.85,14.27,15.20,5.05,1.99,11.56,0.88,2.83,7.75,0.01,0.00,0.31,0.00,67.73,0.00,0.00,1.39,0.51,0.00,0.00,0.00,25466400,18.60,30.38,30.07,30.38,67.73,69.11,99.49,0.51,Mixed,Mixed,Mixed,0.570,1941,8.75,0.00,0.00,0.63,1.10,0.00,0.00,0.00,89.53,25490000,,,,,,,33.505,1.589,5.708,1076.387,10.779,12.319,95.188,0.00,0.00,79.00,0.00,0.004,0.559,8.207,790492.348,717.406,46103.900,,,,80089.013,17.669,11225.330,,33701.608,3586.560,52.965,94.219,118.765,333.970,421.717,537.838,,6.657,5.987,0.133,1.504,0.297,0.836,1.048,39.39,36.79,23.83,222.239,0.103,60.000,19.250,27.573,0.010,0,2,,0.000
364138121373701,T364138121373701,CA_GabilanEastL,CSQA,GABILAN C AB E LAUREL DR NR SALINAS CA,7.803,1.22,18.56,18.34,8.84,0.13,0.00,0.00,0.00,0.50,0.07,50.92,1.43,0.00,0.00,0.00,7798054.22,0.99,17.34,19.60,19.86,7.01,0.00,0.00,1.71,3.60,23.93,4.98,0.00,0.23,0.65,54.45,0.09,0.00,3.32,0.05,0.00,0.00,0.00,7808400,7.01,41.45,41.22,42.09,54.45,57.86,99.95,0.05,Mixed,Mixed,Mixed,0.098,1970,18.23,0.51,0.00,19.77,0.00,0.00,0.00,22.08,39.41,7790000,,,,,,,30.327,1.055,6.201,248.791,9.446,12.300,94.900,11.74,67.77,0.00,0.00,0.011,0.663,9.408,203323.321,292.211,11858.430,,,,20599.775,7.197,2887.278,,28553.427,3010.748,62.106,181.412,288.040,357.740,664.648,990.975,,4.527,5.615,0.131,1.502,0.289,0.889,1.047,36.56,37.37,26.07,235.748,0.171,59.913,3.494,36.835,0.018,,,,
364155121363901,T364155121363901,CA_Natividad,CSQA,NATIVIDAD C NR SALINAS CA,18.677,0.15,7.56,3.95,8.13,0.04,0.00,2.27,0.13,47.50,2.15,21.17,5.56,0.20,0.94,0.26,18667632.85,2.59,6.43,6.56,6.58,0.56,0.06,0.00,2.88,1.68,6.49,0.17,0.00,0.00,0.06,24.66,22.51,0.00,6.28,34.37,0.00,0.29,0.00,18644400,0.62,11.84,11.84,11.89,24.66,53.45,65.34,34.66,Mixed,Mixed,Mixed,,1960,0.27,0.00,3.42,3.58,0.00,0.00,0.00,0.21,92.51,18690000,5.354,0.000,8.796,8.796,0.000,1.000,31.230,1.581,4.174,145.163,9.200,12.300,94.900,79.88,14.03,0.00,0.00,0.024,0.667,9.808,248611.010,299.195,14499.745,,,,25188.113,7.369,3530.383,,15084.523,1538.060,60.084,63.295,80.685,88.289,230.313,301.670,,2.916,6.000,0.116,1.552,0.269,0.987,1.856,42.30,34.17,23.53,238.862,0.229,51.869,0.000,72.415,0.090,,,,
365634121264001,T365634121264001,CA_Tequisquita,CSQA,TEQUISQUITA SLOUGH A SHORE RD NR DUNNEVILLE CA,15.689,0.05,0.18,1.73,4.13,0.15,0.00,0.05,0.00,3.87,0.95,77.81,10.95,0.13,0.00,0.00,15681603.54,0.11,1.06,1.06,1.06,0.16,0.00,0.37,1.19,0.00,0.00,0.00,0.00,0.00,0.00,80.17,0.57,0.00,12.04,5.50,0.00,0.00,0.00,15703200,0.53,1.72,1.72,1.72,80.17,92.78,94.50,5.50,Ag_high,Ag_high,Ag,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,15590000,,,,,,,28.392,1.000,9.235,4904.472,11.430,21.600,144.500,22.75,77.25,0.00,0.00,0.007,0.751,11.083,136127.130,30.430,125021.073,,,,13791.741,0.747,30366.535,,17755.238,2814.599,68.096,4.329,4.293,9.133,12.973,13.022,,1.027,4.814,0.125,1.386,0.300,0.838,0.349,15.60,41.95,42.45,228.484,0.032,60.000,59.544,56.649,0.006,,,,
